s,l,taken,skipped,pnl,roi,pf,min_cash,max_conc
70000,360000,23242,622,60716122.34821066,6071.6122348210665,3.017004786614907,1205.8263578123879,152
200000,280000,22886,978,60689543.84333987,6068.954384333987,2.698040776275387,2229.3454301801976,152
100000,340000,23150,714,60423309.40956233,6042.330940956233,2.923256365962882,2780.1307626145426,152
130000,320000,23067,797,60270648.226750776,6027.064822675078,2.849254411790944,0.6118791847256944,152
160000,300000,23009,855,60181965.81032946,6018.196581032946,2.781098418993973,978.7999678482302,152
30000,380000,23386,478,60129010.40956619,6012.901040956618,3.143002102126228,2474.3777221916243,152
60000,360000,23315,549,60045695.138201185,6004.569513820118,3.044135827828171,165.64771105954424,152
190000,280000,22891,973,59749715.524292275,5974.971552429228,2.7149028611689063,440.2106963065453,152
90000,340000,23202,662,59682223.95688601,5968.222395688601,2.953354223545079,3116.1729770987295,152
20000,380000,23423,441,59349938.46548336,5934.9938465483365,3.181654200015772,589.1657332123723,152
120000,320000,23083,781,59281849.70636128,5928.184970636128,2.8646927709882877,706.8637863446493,152
150000,300000,23010,854,59111512.962859266,5911.151296285927,2.7932131893922123,54.44505791552365,152
50000,360000,23329,535,59088988.05940448,5908.898805940448,3.0728476111428935,1131.0352464923635,152
180000,280000,22938,926,58967068.162092954,5896.7068162092955,2.729986721662692,804.0985921365209,152
80000,340000,23242,622,58763230.174142495,5876.323017414249,2.9781788723209077,182.77452731318772,152
110000,320000,23165,699,58653900.168671936,5865.3900168671935,2.8891594812878427,93.25746793253347,152
10000,380000,23451,413,58500451.415917076,5850.045141591708,3.215859524981051,214.90153726388235,152
140000,300000,23047,817,58243011.646545,5824.3011646545,2.811916788797749,343.1260363878682,152
40000,360000,23373,491,58121945.38358936,5812.1945383589355,3.1018754116980247,1831.5666485426482,152
170000,280000,22972,892,58066097.0490055,5806.60970490055,2.7434392355858495,1201.685342663899,152
70000,340000,23270,594,57899106.70089771,5789.910670089771,3.0054112046843406,231.48852837237064,152
100000,320000,23169,695,57667572.10786196,5766.757210786196,2.9131234435255897,222.74122796510346,152
200000,260000,22857,1007,57624709.95700412,5762.4709957004125,2.6751530546094644,55.97327543166466,152
130000,300000,23084,780,57401691.013870485,5740.169101387049,2.833291675017528,375.23472325573675,152
30000,360000,23396,468,57105232.484428205,5710.523248442821,3.135621629308912,649.018813367351,152
160000,280000,22987,877,57060573.73077468,5706.057373077468,2.75845418274526,2293.1933234799653,152
60000,340000,23310,554,56998053.87555745,5699.805387555745,3.0343583072145957,1976.6691082245088,152
190000,260000,22882,982,56694756.41300319,5669.475641300319,2.6878191533041167,270.4757694720756,152
90000,320000,23189,675,56619550.11221085,5661.9550112210845,2.937567176299009,1632.7244453191524,152
120000,300000,23105,759,56440544.465359636,5644.0544465359635,2.851988147432886,1702.361552249873,152
20000,360000,23430,434,56392188.34165449,5639.218834165449,3.1743650454631274,1174.3058609366417,152
150000,280000,23016,848,56174141.77529887,5617.414177529887,2.7750673635517304,2795.4968518032692,152
50000,340000,23323,541,56017045.77220705,5601.704577220705,3.062120993294018,3458.9286988251843,152
180000,260000,22950,914,55986145.1805675,5598.61451805675,2.7065135851149256,204.2166420579888,152
80000,320000,23237,627,55786278.40550914,5578.627840550914,2.964409589253153,1281.4751186841168,152
110000,300000,23136,728,55535028.20175065,5553.502820175065,2.873837595119955,2814.633957921993,152
10000,360000,23461,403,55474659.71884072,5547.465971884072,3.213446334985319,4219.366882656701,152
140000,280000,23033,831,55221573.42401016,5522.157342401016,2.7927123228514508,175.11317015741952,152
40000,340000,23371,493,55088685.13125496,5508.868513125496,3.095214081034462,834.7659977977164,152
170000,260000,22986,878,55054860.26262493,5505.4860262624925,2.7204510702000793,2154.7354887875263,152
70000,320000,23268,596,54863629.30097629,5486.362930097629,2.9930028902916437,223.23557509062812,152
100000,300000,23187,677,54744799.49816468,5474.479949816468,2.8990646019611463,837.8842757295934,152
200000,240000,22876,988,54729846.235647246,5472.984623564725,2.653153671729477,2224.809310982004,152
130000,280000,23058,806,54290070.808818564,5429.007080881856,2.8127706541254427,2935.348122241441,152
30000,340000,23413,451,54188338.393885374,5418.833839388537,3.1258313243531255,281.9607009142637,152
160000,260000,22977,887,54071238.46104306,5407.123846104306,2.7377577815284226,468.56541304755956,152
60000,320000,23283,581,53916188.212759,5391.618821275901,3.023517343356159,337.5744558555307,152
190000,240000,22897,967,53782062.95074048,5378.206295074048,2.665987069676931,255.11250959022436,152
90000,300000,23182,682,53654195.10679983,5365.419510679983,2.923023676693407,558.3621474218089,152
120000,280000,23082,782,53456942.28592315,5345.694228592315,2.8364693911150045,121.3987476680195,152
20000,340000,23443,421,53373935.93222825,5337.393593222825,3.171064000271236,1411.2424842325272,152
150000,260000,22997,867,53129152.26853388,5312.915226853388,2.75311480823703,1160.0016029016115,152
50000,320000,23327,537,53015203.86206794,5301.520386206794,3.0545294854024925,457.25960372947156,152
180000,240000,22960,904,52960222.12042675,5296.022212042675,2.679823878479256,3723.392084329622,152
80000,300000,23246,618,52830459.622823566,5283.045962282356,2.950001714253112,865.2590371067636,152
110000,280000,23139,725,52566676.54572004,5256.667654572004,2.854603021219243,257.0240931006847,152
10000,340000,23466,398,52467275.02831151,5246.7275028311515,3.2117206283778086,1904.8524228036404,152
140000,260000,23048,816,52319384.51828297,5231.938451828298,2.7742543441385012,2983.7299051843584,152
40000,320000,23377,487,52133866.33752671,5213.3866337526715,3.0886880032589725,652.7436906173825,152
170000,240000,22974,890,52104621.81523487,5210.462181523487,2.698646948212294,426.18617960379925,152
70000,300000,23309,555,52042825.29647453,5204.282529647453,2.9827901594282085,278.26031933166087,152
200000,220000,22894,970,51865012.79459554,5186.501279459553,2.6331941227521156,1442.3957209368236,152
100000,280000,23168,696,51503198.62033848,5150.319862033848,2.8721338095259727,1619.299484565854,152
130000,260000,23047,817,51273184.516070776,5127.318451607078,2.790315984415895,994.794726782944,152
30000,320000,23408,456,51252124.35874466,5125.212435874466,3.1255560746017657,599.6709076047409,152
160000,240000,23026,838,51189993.25573495,5118.999325573494,2.7129233091692733,596.6349525791593,152
60000,300000,23318,546,50953303.413513884,5095.330341351389,3.006837408336612,301.95285221666563,152
190000,220000,22921,943,50893111.09032496,5089.311109032496,2.642349686649547,238.76993028237484,152
90000,280000,23203,661,50755826.410289474,5075.582641028947,2.9051442976939605,1345.958731544204,152
120000,260000,23080,784,50368658.4332837,5036.86584332837,2.812211195544746,938.7452334207483,152
20000,320000,23452,412,50348193.5378867,5034.81935378867,3.1630408251797126,2713.844037789502,152
150000,240000,23033,831,50193795.83004164,5019.379583004164,2.7275772559924922,73.2468190593645,152
50000,300000,23341,523,49984295.498727195,4998.429549872719,3.039613749297005,382.9706622888334,152
180000,220000,22958,906,49965590.21024541,4996.559021024541,2.6545705646326825,2016.7359852825757,152
80000,280000,23254,610,49851765.311536126,4985.176531153613,2.93252598083268,1626.0540510276332,152
110000,260000,23133,731,49509829.480694935,4950.982948069493,2.831972432032816,1832.551800913643,152
10000,320000,23472,392,49509126.31010899,4950.912631010899,3.203862474457954,170.58947556931525,152
140000,240000,23061,803,49328911.43099968,4932.891143099968,2.747854534837668,567.8018112905556,152
40000,300000,23390,474,49148188.72313121,4914.818872313122,3.076157699136875,229.79140557302162,152
170000,220000,22964,900,49051106.02056609,4905.1106020566085,2.67115834870896,3225.7053544197697,152
70000,280000,23301,563,48946197.5154538,4894.6197515453805,2.9617222563067163,831.552292424487,152
200000,200000,22878,986,48847523.82580453,4884.752382580453,2.6081829093330127,0.0,152
130000,240000,23122,742,48536752.63595157,4853.675263595157,2.770447322997902,2903.338072912302,152
100000,260000,23148,716,48516583.94747951,4851.658394747951,2.8536913779001636,688.3413527067751,152
30000,300000,23420,444,48206299.26202842,4820.6299262028415,3.113940661020632,1268.8030109123792,152
160000,220000,22988,876,48104392.99869218,4810.439299869217,2.6882008466396257,5.541248840629123,152
60000,280000,23322,542,48011517.29930701,4801.151729930701,2.9952232494715783,176.53623662004247,152
190000,200000,22893,971,47883081.91499353,4788.308191499354,2.620584459806941,0.0,152
90000,260000,23195,669,47643753.54457226,4764.3753544572255,2.8805645166311327,1011.7542888616445,152
120000,240000,23115,749,47424909.30137617,4742.4909301376165,2.786644704156331,6.165557043859735,152
150000,220000,23040,824,47285820.06263538,4728.582006263538,2.7072316837439185,751.8456959911855,152
20000,300000,23447,417,47270180.93796969,4727.018093796969,3.155594456479702,382.7860778744798,152
50000,280000,23350,514,47043911.05429699,4704.3911054297,3.026029655280648,192.6184956941288,152
180000,200000,22968,896,47035096.35823468,4703.509635823468,2.6296698550473954,0.0,152
80000,260000,23246,618,46821067.606933884,4682.106760693388,2.9140429679376623,140.93820753408363,152
110000,240000,23148,716,46517321.58814063,4651.732158814063,2.8077442188194905,745.1242988282465,152
10000,300000,23478,386,46423864.021534815,4642.386402153482,3.1971616592401846,425.61275306576863,152
140000,220000,23061,803,46329482.20834676,4632.948220834676,2.723173357538835,23.499633368803188,152
40000,280000,23392,472,46090196.08138388,4609.019608138388,3.061401130692059,171.02404881059192,152
170000,200000,22967,897,46036502.275266446,4603.650227526644,2.643322141921931,0.0,152
200000,180000,22875,989,45914499.692911364,4591.449969291136,2.58381154217409,1876.0898912223056,152
70000,260000,23289,575,45914210.66222268,4591.421066222269,2.9440175218800473,443.25382912531495,152
100000,240000,23195,669,45688862.09829347,4568.886209829347,2.834557197818124,3061.048864328768,152
130000,220000,23092,772,45406245.30773739,4540.624530773739,2.743361893482243,1780.485011062352,152
30000,280000,23445,419,45170320.751944214,4517.032075194422,3.0978687276273607,1601.3251168809365,152
160000,200000,23004,860,45121427.140708804,4512.14271407088,2.6588195737012175,0.0,152
190000,180000,22910,954,44998247.71428606,4499.824771428606,2.596059890524369,150.9612896349281,152
60000,260000,23329,535,44936858.878810436,4493.6858878810435,2.9717425441166236,2636.357962849317,152
90000,240000,23230,634,44789868.24585531,4478.986824585531,2.859406879983237,320.2441310918657,152
120000,220000,23119,745,44488910.14276776,4448.891014276775,2.7646745348728414,1932.096805877285,152
20000,280000,23463,401,44334806.812607124,4433.480681260713,3.1473420870104585,337.70191020704806,152
150000,200000,23037,827,44245918.97469306,4424.591897469306,2.677275169106906,0.0,152
180000,180000,22935,929,44043886.252451956,4404.388625245196,2.6050196730551423,855.6940597383073,152
50000,260000,23355,509,43986529.419880055,4398.652941988005,3.0069777177939994,567.4587391774403,152
80000,240000,23266,598,43896826.92990777,4389.682692990777,2.8904078847696333,511.06998729752377,152
110000,220000,23180,684,43602536.600542374,4360.253660054237,2.784758147417088,249.25180289894342,152
10000,280000,23494,370,43426752.406409256,4342.675240640926,3.1949144634130766,47.472697964520194,152
140000,200000,23063,801,43279832.115613304,4327.98321156133,2.693933701659799,0.0,152
170000,180000,22965,899,43073740.22761718,4307.374022761718,2.6165079735480727,1180.0707516924012,152
40000,260000,23411,453,43058800.76428067,4305.880076428067,3.042540453489748,1155.2446367850062,152
70000,240000,23313,551,42961450.5587485,4296.145055874849,2.92012399602198,1106.0854970035143,152
200000,160000,22872,992,42877694.646765456,4287.769464676546,2.5536151694917715,558.1025836726185,152
100000,220000,23209,655,42736626.63982772,4273.662663982772,2.811685924706938,473.5019023423083,152
130000,200000,23098,766,42397091.52604306,4239.709152604306,2.715225456275065,0.0,152
160000,180000,23007,857,42160313.44570028,4216.0313445700285,2.6294332570478676,572.8242147180717,152
30000,260000,23441,423,42132245.34384282,4213.2245343842815,3.088450763992045,5206.242107166792,152
60000,240000,23359,505,42046792.83988049,4204.679283988049,2.956772067164308,2871.784213035833,152
190000,160000,22887,977,41937874.013628885,4193.787401362889,2.5639164828452783,1496.8083642814308,152
90000,220000,23229,635,41699873.61330403,4169.987361330403,2.8330822531047355,672.8685222365893,152
120000,200000,23127,737,41460360.963731214,4146.036096373121,2.7360812794402634,0.0,152
20000,260000,23479,385,41320231.88950891,4132.023188950891,3.140050843874388,91.04990569909569,152
150000,180000,23044,820,41288226.90687242,4128.822690687242,2.6491320960603137,782.0536562518682,152
50000,240000,23404,460,41143520.81849733,4114.352081849733,2.9921685478105986,485.95863067288883,152
180000,160000,22896,968,40938126.25750256,4093.812625750256,2.5720632839397846,192.87066803744528,152
80000,220000,23261,603,40805409.9633967,4080.5409963396696,2.864942639794827,791.900495524169,152
110000,200000,23165,699,40570370.71349942,4057.0370713499424,2.7593928244398835,0.0,152
10000,260000,23505,359,40394535.03562111,4039.45350356211,3.1876996815393803,4543.247320624301,152
