s,l,pnl,roi,pf,taken,skipped,min_cash,max_conc
180000,280000,32525248.383729987,3252.5248383729986,6.204421287395777,7435,16429,0.0,6
90000,440000,32503035.667012062,3250.3035667012064,6.172156526300816,9105,14759,28.94128875772003,13
140000,340000,32445195.164446518,3244.519516444652,6.165167631220193,7895,15969,103.61346895003226,8
110000,400000,32439354.20213461,3243.935420213461,6.192045938165333,8489,15375,155.8570269594784,11
60000,460000,32430414.133223534,3243.0414133223535,6.3657801806187155,10585,13279,0.0,21
90000,420000,32423167.316147406,3242.3167316147405,6.291940738773299,9153,14711,11.837259219144471,13
170000,280000,32417936.64996342,3241.793664996342,6.182936400543538,7565,16299,49.698273475980386,7
100000,420000,32414647.785456516,3241.464778545652,6.216159020160031,8763,15101,0.0,12
170000,260000,32403352.71402565,3240.335271402565,6.266909832534791,7770,16094,292.0852379372809,7
130000,300000,32389443.04074054,3238.944304074054,6.062852851605416,8456,15408,149.37208462809213,9
120000,460000,32344854.31692,3234.485431692,6.205583820041459,7832,16032,333.69576890126336,10
70000,420000,32343015.694329042,3234.301569432904,6.186064178269908,10171,13693,106.23882112710271,18
10000,440000,32331746.175220184,3233.1746175220183,6.5066922168630645,16061,7803,0.0,104
120000,360000,32308284.72151299,3230.828472151299,6.083765832103481,8381,15483,42.88351015839726,10
100000,400000,32267134.174910914,3226.7134174910916,6.038691694531023,8890,14974,0.0,12
30000,440000,32241121.81495727,3224.112181495727,6.383880135077376,13341,10523,0.0,39
120000,300000,32238356.111698173,3223.835611169817,6.074458038076281,8751,15113,130.05994335364085,10
130000,340000,32235803.655950464,3223.5803655950463,6.127435879103085,8165,15699,172.52830465818988,9
100000,500000,32212477.885388408,3221.2477885388407,6.171879948269663,8492,15372,0.0,12
20000,440000,32165521.074588344,3216.552107458834,6.365848700367207,14652,9212,0.0,55
160000,240000,32164120.05205041,3216.4120052050416,6.074847485377887,8317,15547,237.13174897502176,8
170000,240000,32146707.876814958,3214.6707876814958,6.107391288469313,8003,15861,236.0060654161498,7
90000,400000,32108538.267984297,3210.8538267984295,6.121218725224809,9240,14624,17.856299640552606,13
110000,500000,32093693.604532447,3209.3693604532446,6.215245775605796,8108,15756,0.0,11
150000,260000,32052681.04327207,3205.2681043272073,6.151402253888437,8279,15585,4.964503317634808,8
60000,440000,31985937.538448676,3198.593753844868,6.100212787144669,10666,13198,0.0,21
40000,460000,31981325.972701278,3198.132597270128,6.2161968204855205,12263,11601,0.0,30
100000,300000,31967041.31970063,3196.704131970063,6.0183476898756325,9541,14323,0.0,12
120000,280000,31966932.01947323,3196.693201947323,6.066086986544501,8974,14890,0.0,10
50000,460000,31942718.45313516,3194.2718453135158,6.2925873657575275,11327,12537,0.0,25
140000,240000,31915557.808819886,3191.5557808819885,5.982338823486903,8866,14998,0.0,9
80000,400000,31915071.385029387,3191.5071385029387,6.156148436779128,9668,14196,219.48329525266308,16
110000,460000,31901660.320091065,3190.1660320091064,6.129072177749419,8195,15669,34.873311198782176,11
100000,380000,31814186.58236694,3181.418658236694,6.021326822703888,8981,14883,0.0,12
110000,320000,31793051.721480243,3179.305172148024,5.98941331573936,8989,14875,80.35830523294862,11
50000,440000,31789107.71653938,3178.910771653938,6.154282906502265,11476,12388,0.0,25
110000,480000,31726325.18661596,3172.632518661596,6.033300396889798,8142,15722,30.209719535079785,11
30000,460000,31712055.20003684,3171.205520003684,6.384219957810925,13211,10653,0.0,37
110000,360000,31701756.485034637,3170.1756485034634,6.045514058550097,8685,15179,88.40129143180093,11
120000,340000,31656744.288069125,3165.6744288069126,6.047096023974052,8444,15420,70.59625334129669,10
100000,460000,31625415.48565115,3162.541548565115,6.0691969893429265,8595,15269,0.0,12
150000,240000,31622491.50757129,3162.249150757129,5.976733649314016,8530,15334,178.5979778021574,8
140000,260000,31598675.1832351,3159.86751832351,6.036637288291239,8579,15285,223.14269716129638,8
80000,500000,31588389.519875634,3158.838951987563,6.244623877382213,9329,14535,0.0,16
90000,500000,31584561.614894114,3158.4561614894114,6.154653721880479,8833,15031,0.0,14
130000,240000,31577267.032551542,3157.7267032551545,5.911358221831173,9089,14775,0.0,9
30000,480000,31557427.474527486,3155.7427474527485,6.475114597785965,13142,10722,40.28487906861119,39
60000,420000,31547770.15521624,3154.777015521624,6.0454123094969106,10744,13120,107.52922752290033,20
110000,300000,31543583.172374375,3154.3583172374374,5.996547788210078,9071,14793,35.029907170915976,11
100000,320000,31496271.038835887,3149.6271038835885,5.926394487913294,9272,14592,0.0,13
20000,420000,31491871.246891584,3149.1871246891583,6.3075965571002275,14809,9055,0.0,55
190000,220000,31460021.748964097,3146.00217489641,6.017254927319638,7953,15911,61.956926982849836,6
100000,480000,31440168.722829804,3144.0168722829803,6.021381219196113,8544,15320,0.0,12
130000,260000,31420990.013841648,3142.099001384165,6.10381665727129,8730,15134,10.900443448452279,9
40000,440000,31375875.398612767,3137.5875398612766,6.1597924165841835,12344,11520,0.0,30
70000,400000,31348896.00421311,3134.889600421311,6.033501453030053,10213,13651,37.32867190381512,18
50000,420000,31332980.217815552,3133.2980217815552,6.171693434276016,11604,12260,0.0,25
90000,300000,31328772.66916068,3132.8772669160676,5.930734950886874,9858,14006,167.4531183190411,13
110000,340000,31296469.395860318,3129.6469395860317,5.9580205289916695,8820,15044,0.0,11
200000,200000,31228410.2776338,3122.84102776338,5.737371985459093,8224,15640,0.0,6
80000,480000,31207235.028759856,3120.7235028759856,6.154676631723607,9370,14494,26.322650241549127,16
70000,480000,31182618.469495445,3118.2618469495446,6.199800421720912,9927,13937,63.94157355185598,19
40000,420000,31124286.906389836,3112.428690638984,6.080985492701256,12442,11422,0.0,29
120000,260000,31114685.86687769,3111.468586687769,5.8998784853930495,9135,14729,0.0,10
90000,380000,31109692.447895512,3110.9692447895513,5.938473949870386,9309,14555,92.8216279092594,13
80000,380000,31109578.360603746,3110.9578360603746,5.892200925525062,9790,14074,0.0,15
