"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-e5d7188f-103055","e5d7188f362bb471","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:30:55+0530","2026-03-16 11:16:02+0530","GODFRYPHLP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","126","1980.61","1994.07","1994.07","1962.79","SL","-1695.96","-0.6796","0.7392","0.0","1.0"
"PT-2a860971-103109","2a86097157d20300","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:09+0530","2026-03-16 11:16:14+0530","HINDCOPPER","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","524","476.26","479.5","479.5","471.97","SL","-1697.76","-0.6803","0.8287","0.0","1.0"
"PT-e3ce18e4-104601","e3ce18e4529e3e1d","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:46:01+0530","2026-03-16 11:16:17+0530","GSFC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1651","151.27","152.3","152.3","149.91","SL","-1700.53","-0.6809","0.4676","0.0","1.0"
"PT-91df33fa-103228","91df33fa2605170c","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:32:28+0530","2026-03-16 11:16:19+0530","UNIECOM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2710","92.17","92.8","92.8","91.34","SL","-1707.3","-0.6835","0.759","0.0","1.0"
"PT-f87a9aac-104759","f87a9aac2e9f4446","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:59+0530","2026-03-16 11:16:21+0530","ELECON","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","678","368.37","370.88","370.88","365.05","SL","-1701.78","-0.6814","0.865","0.0","1.0"
"PT-12d45009-103224","12d45009052866cf","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:32:24+0530","2026-03-16 11:16:44+0530","TITAGARH","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","407","612.74","616.91","616.91","607.22","SL","-1697.19","-0.6805","0.7814","0.0","1.0"
"PT-784a8a00-104754","784a8a00cf40ee59","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:54+0530","2026-03-16 11:16:51+0530","DATAPATTNS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","80","3093.75","3114.79","3114.79","3065.91","SL","-1683.2","-0.6801","0.5587","0.0","1.0"
"PT-ed06a416-104733","ed06a416f79bcf9f","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:33+0530","2026-03-16 11:17:43+0530","AFFLE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","190","1313.34","1322.27","1322.27","1301.52","SL","-1696.7","-0.6799","0.5784","0.0","1.0"
"PT-4175c529-103049","4175c529aff1f3ed","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:30:49+0530","2026-03-16 11:17:48+0530","GENUSPOWER","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1054","236.73","238.34","238.34","234.6","SL","-1696.94","-0.6801","0.6965","0.0","1.0"
"PT-4e53d5df-103135","4e53d5df8c8e27c5","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:35+0530","2026-03-16 11:19:18+0530","LODHA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","297","839.38","845.09","845.09","831.82","SL","-1695.87","-0.6803","0.5156","0.0","1.0"
"PT-1e91a69f-103224","1e91a69fab8921f6","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:32:24+0530","2026-03-16 11:19:23+0530","TIINDIA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","105","2377.81","2393.98","2393.98","2356.41","SL","-1697.85","-0.68","0.7135","0.0","1.0"
"PT-64532a4e-111707","64532a4ee8ac97a1","2026-03-16 11:15:00+05:30","2026-03-16 11:15:00+05:30","2026-03-16 11:17:07+0530","2026-03-16 11:19:43+0530","PRIMESECU","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","941","265.42","267.23","267.23","263.03","SL","-1703.21","-0.6819","0.5057","0.0","1.0"
